Randomizer Version: 4.6.1
Random Seed: 38577501505239
Settings String: 322IygEAnj8AP8AAgERAAKkJAjECQAACQA9AQABoAAAAAAAAgCIxsEywVoICTIJCQDGUwEAElBva2Vtb24gT21lZ2EgUnViee7Lak7jwziK

--Move Updates--
Made Tackle have 40 power
Made Thunder Wave have 90% accuracy
Made Recover have 5 PP
Made Soft-Boiled have 5 PP
Made Leech Life have 80 power and 10 PP
Made Rest have 5 PP
Made Swagger have 85% accuracy
Made Milk Drink have 5 PP
Made Rapid Spin have 50 power
Made Luster Purge have 95 power
Made Mist Ball have 95 power
Made Slack Off have 5 PP
Made Roost have 5 PP
Made Sucker Punch have 70 power
Made Dark Void have 50% accuracy
Made Flying Press have 100 power
Made Fell Stinger have 50 power
Made Parabolic Charge have 65 power
Made Water Shuriken a Special move
Made Mystical Fire have 75 power

--Pokemon Base Stats & Types--
NUM|NAME            |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1      |ABILITY2      |ABILITY3      |ITEM
146 Moltres          |          - |              - |        - |TM04 Mach Punch |TM05 Steel Wing |                 - |TM07 Gravity |               - |TM09 Fury Attack |TM10 False Swipe |TM11 Super Fang |TM12 Crabhammer |TM13 Signal Beam |TM14 Dragon Tail |                - |        - |TM17 Thunder |TM18 Snore |              - |TM20 Lava Plume |          - |               - |                - |TM24 Pin Missile |TM25 Icy Wind |             - |TM27 Round |TM28 Solar Beam |TM29 Vice Grip |TM30 Play Rough |          - |TM32 Brine |TM33 Dual Chop |TM34 Yawn |           - |TM36 Disarming Voice |TM37 Giga Drain |TM38 Psych Up |              - |TM40 Nature Power |TM41 Dragon Rush |                - |TM43 Ice Fang |TM44 Pluck |TM45 Dragon Ascent |TM46 Volt Switch |TM47 Confusion |              - |TM49 Last Resort |             - |        - |          - |TM53 X-Scissor |TM54 Leaf Tornado |                - |        - |TM57 Head Smash |               - |TM59 Aqua Ring |               - |                - |                - |TM63 Water Pulse |TM64 Quiver Dance |           - |TM66 Tail Whip |TM67 Flash Cannon |TM68 Silver Wind |         - |              - |          - |             - |TM73 Draining Kiss |TM74 Hyper Fang |TM75 String Shot |TM76 Aerial Ace |               - |TM78 Iron Defense |TM79 Me First |              - |                - |           - |                - |TM84 Water Pledge |TM85 Bide |                - |TM87 Ingrain |TM88 Lock-On |              - |TM90 Force Palm |TM91 Constrict |TM92 Electro Ball |TM93 Teleport |                 - |             - |         - |TM97 Psychic |         - |               - |TM100 Bind |HM01 Cut |       - |HM03 Surf |HM04 Strength |HM05 Waterfall |              - |HM07 Dive |
147 Dratini          |          - |              - |TM03 Lick |              - |TM05 Steel Wing |TM06 Phantom Force |           - |TM08 Bolt Strike |               - |TM10 False Swipe |              - |TM12 Crabhammer |               - |               - |                - |        - |TM17 Thunder |TM18 Snore |TM19 Poison Gas |TM20 Lava Plume |TM21 Splash |               - |                - |TM24 Pin Missile |            - |             - |TM27 Round |              - |TM29 Vice Grip |TM30 Play Rough |          - |TM32 Brine |TM33 Dual Chop |TM34 Yawn |           - |                   - |TM37 Giga Drain |            - |              - |                - |TM41 Dragon Rush |                - |            - |         - |TM45 Dragon Ascent |               - |             - |              - |               - |TM50 Rock Tomb |TM51 Slam |          - |TM53 X-Scissor |TM54 Leaf Tornado |                - |TM56 Coil |TM57 Head Smash |               - |             - |               - |                - |TM62 Thunder Wave |               - |TM64 Quiver Dance |           - |             - |TM67 Flash Cannon |               - |TM69 Glare |              - |          - |TM72 Transform |TM73 Draining Kiss |              - |TM75 String Shot |              - |TM77 Vacuum Wave |                - |TM79 Me First |TM80 Rock Blast |                - |           - |                - |                - |        - |                - |TM87 Ingrain |           - |TM89 Happy Hour |TM90 Force Palm |             - |TM92 Electro Ball |            - |TM94 Light of Ruin |TM95 Explosion |TM96 Roost |TM97 Psychic |         - |               - |        - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |             - |              - |HM07 Dive |
148 Dragonair        |TM01 Tickle |              - |        - |              - |              - |                 - |TM07 Gravity |TM08 Bolt Strike |TM09 Fury Attack |TM10 False Swipe |TM11 Super Fang |TM12 Crabhammer |TM13 Signal Beam |TM14 Dragon Tail |                - |TM16 Hail |           - |TM18 Snore |TM19 Poison Gas |TM20 Lava Plume |TM21 Splash |TM22 Fury Cutter |                - |               - |            - |TM26 Mud Sport |TM27 Round |              - |TM29 Vice Grip |TM30 Play Rough |          - |TM32 Brine |             - |        - |TM35 Psywave |                   - |              - |TM38 Psych Up |              - |                - |               - |TM42 Spiky Shield |            - |         - |TM45 Dragon Ascent |TM46 Volt Switch |TM47 Confusion |              - |TM49 Last Resort |TM50 Rock Tomb |TM51 Slam |TM52 Bounce |TM53 X-Scissor |TM54 Leaf Tornado |                - |TM56 Coil |TM57 Head Smash |               - |             - |TM60 Meteor Mash |                - |                - |               - |                - |           - |TM66 Tail Whip |                - |               - |TM69 Glare |TM70 Switcheroo |TM71 Harden |TM72 Transform |                 - |TM74 Hyper Fang |TM75 String Shot |              - |TM77 Vacuum Wave |TM78 Iron Defense |            - |              - |TM81 Extrasensory |TM82 Copycat |                - |                - |        - |                - |           - |TM88 Lock-On |              - |              - |             - |TM92 Electro Ball |TM93 Teleport |TM94 Light of Ruin |             - |         - |TM97 Psychic |TM98 Pound |               - |TM100 Bind |HM01 Cut |       - |HM03 Surf |HM04 Strength |HM05 Waterfall |HM06 Rock Smash |HM07 Dive |
149 Dragonite        |          - |TM02 Skill Swap |        - |              - |TM05 Steel Wing |                 - |TM07 Gravity |TM08 Bolt Strike |TM09 Fury Attack |               - |TM11 Super Fang |TM12 Crabhammer |               - |               - |TM15 Shadow Force |TM16 Hail |TM17 Thunder |TM18 Snore |              - |              - |TM21 Splash |TM22 Fury Cutter |TM23 Secret Power |TM24 Pin Missile |            - |TM26 Mud Sport |TM27 Round |              - |             - |TM30 Play Rough |TM31 Bubble |TM32 Brine |             - |        - |           - |TM36 Disarming Voice |TM37 Giga Drain |            - |TM39 Seed Flare |                - |               - |TM42 Spiky Shield |            - |TM44 Pluck |                 - |               - |TM47 Confusion |              - |               - |             - |TM51 Slam |TM52 Bounce |             - |TM54 Leaf Tornado |                - |TM56 Coil |TM57 Head Smash |               - |             - |               - |                - |                - |               - |TM64 Quiver Dance |           - |             - |TM67 Flash Cannon |               - |         - |TM70 Switcheroo |TM71 Harden |TM72 Transform |                 - |              - |TM75 String Shot |TM76 Aerial Ace |TM77 Vacuum Wave |                - |TM79 Me First |TM80 Rock Blast |                - |           - |                - |                - |        - |                - |TM87 Ingrain |           - |TM89 Happy Hour |              - |TM91 Constrict |TM92 Electro Ball |TM93 Teleport |TM94 Light of Ruin |             - |TM96 Roost |TM97 Psychic |TM98 Pound |               - |        - |       - |HM02 Fly |        - |HM04 Strength |HM05 Waterfall |HM06 Rock Smash |        - |
150 Mewtwo           |          - |              - |        - |TM04 Mach Punch |TM05 Steel Wing |TM06 Phantom Force |           - |TM08 Bolt Strike |TM09 Fury Attack |               - |TM11 Super Fang |TM12 Crabhammer |               - |TM14 Dragon Tail |TM15 Shadow Force |TM16 Hail |           - |         - |              - |TM20 Lava Plume |          - |TM22 Fury Cutter |TM23 Secret Power |TM24 Pin Missile |TM25 Icy Wind |             - |TM27 Round |              - |             - |              - |TM31 Bubble |         - |             - |        - |           - |                   - |              - |TM38 Psych Up |TM39 Seed Flare |TM40 Nature Power |               - |TM42 Spiky Shield |TM43 Ice Fang |         - |TM45 Dragon Ascent |               - |TM47 Confusion |TM48 Leaf Storm |               - |TM50 Rock Tomb |        - |TM52 Bounce |TM53 X-Scissor |TM54 Leaf Tornado |                - |        - |              - |TM58 Acupressure |TM59 Aqua Ring |               - |TM61 Spike Cannon |TM62 Thunder Wave |               - |TM64 Quiver Dance |           - |TM66 Tail Whip |                - |TM68 Silver Wind |         - |              - |TM71 Harden |TM72 Transform |                 - |TM74 Hyper Fang |               - |TM76 Aerial Ace |TM77 Vacuum Wave |TM78 Iron Defense |TM79 Me First |              - |                - |TM82 Copycat |                - |TM84 Water Pledge |        - |                - |           - |TM88 Lock-On |TM89 Happy Hour |              - |             - |TM92 Electro Ball |TM93 Teleport |                 - |TM95 Explosion |         - |TM97 Psychic |TM98 Pound |TM99 Powder Snow |        - |HM01 Cut |HM02 Fly |HM03 Surf |            - |HM05 Waterfall |              - |HM07 Dive |
151 Mew              |          - |              - |TM03 Lick |              - |              - |                 - |           - |               - |TM09 Fury Attack |TM10 False Swipe |TM11 Super Fang |              - |               - |TM14 Dragon Tail |                - |        - |           - |TM18 Snore |TM19 Poison Gas |              - |TM21 Splash |TM22 Fury Cutter |TM23 Secret Power |TM24 Pin Missile |TM25 Icy Wind |             - |TM27 Round |              - |TM29 Vice Grip |              - |TM31 Bubble |TM32 Brine |TM33 Dual Chop |TM34 Yawn |TM35 Psywave |                   - |TM37 Giga Drain |TM38 Psych Up |              - |TM40 Nature Power |               - |                - |TM43 Ice Fang |TM44 Pluck |TM45 Dragon Ascent |               - |             - |TM48 Leaf Storm |TM49 Last Resort |             - |        - |TM52 Bounce |             - |                - |                - |TM56 Coil |TM57 Head Smash |               - |TM59 Aqua Ring |               - |                - |TM62 Thunder Wave |               - |TM64 Quiver Dance |TM65 Swagger |TM66 Tail Whip |TM67 Flash Cannon |               - |         - |TM70 Switcheroo |          - |TM72 Transform |TM73 Draining Kiss |              - |               - |              - |TM77 Vacuum Wave |TM78 Iron Defense |TM79 Me First |              - |TM81 Extrasensory |TM82 Copycat |                - |TM84 Water Pledge |TM85 Bide |TM86 Zen Headbutt |           - |TM88 Lock-On |TM89 Happy Hour |              - |             - |TM92 Electro Ball |TM93 Teleport |TM94 Light of Ruin |             - |TM96 Roost |TM97 Psychic |         - |TM99 Powder Snow |        - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |             - |HM06 Rock Smash |HM07 Dive |
152 Chikorita        |TM01 Tickle |TM02 Skill Swap |        - |              - |              - |TM06 Phantom Force |           - |TM08 Bolt Strike |               - |               - |              - |              - |               - |TM14 Dragon Tail |                - |TM16 Hail |           - |TM18 Snore |TM19 Poison Gas |TM20 Lava Plume |          - |TM22 Fury Cutter |                - |               - |            - |TM26 Mud Sport |TM27 Round |              - |TM29 Vice Grip |TM30 Play Rough |TM31 Bubble |TM32 Brine |             - |TM34 Yawn |           - |                   - |              - |            - |              - |TM40 Nature Power |TM41 Dragon Rush |TM42 Spiky Shield |            - |         - |TM45 Dragon Ascent |               - |             - |TM48 Leaf Storm |               - |TM50 Rock Tomb |        - |          - |TM53 X-Scissor |                - |TM55 Sucker Punch |TM56 Coil |TM57 Head Smash |               - |             - |               - |                - |                - |TM63 Water Pulse |                - |           - |TM66 Tail Whip |TM67 Flash Cannon |               - |TM69 Glare |TM70 Switcheroo |TM71 Harden |TM72 Transform |TM73 Draining Kiss |              - |               - |              - |               - |                - |            - |              - |TM81 Extrasensory |TM82 Copycat |                - |TM84 Water Pledge |        - |TM86 Zen Headbutt |           - |TM88 Lock-On |              - |              - |TM91 Constrict |                - |TM93 Teleport |                 - |TM95 Explosion |         - |TM97 Psychic |TM98 Pound |TM99 Powder Snow |        - |       - |HM02 Fly |        - |HM04 Strength |             - |              - |HM07 Dive |
153 Bayleef          |TM01 Tickle |TM02 Skill Swap |        - |              - |TM05 Steel Wing |                 - |TM07 Gravity |               - |               - |TM10 False Swipe |TM11 Super Fang |TM12 Crabhammer |TM13 Signal Beam |TM14 Dragon Tail |                - |TM16 Hail |           - |TM18 Snore |TM19 Poison Gas |              - |TM21 Splash |TM22 Fury Cutter |                - |TM24 Pin Missile |            - |TM26 Mud Sport |         - |TM28 Solar Beam |             - |              - |TM31 Bubble |         - |TM33 Dual Chop |TM34 Yawn |TM35 Psywave |                   - |              - |            - |              - |TM40 Nature Power |TM41 Dragon Rush |TM42 Spiky Shield |            - |TM44 Pluck |                 - |TM46 Volt Switch |TM47 Confusion |TM48 Leaf Storm |               - |             - |TM51 Slam |          - |TM53 X-Scissor |TM54 Leaf Tornado |TM55 Sucker Punch |TM56 Coil |TM57 Head Smash |               - |             - |               - |                - |TM62 Thunder Wave |TM63 Water Pulse |TM64 Quiver Dance |TM65 Swagger |             - |                - |TM68 Silver Wind |         - |              - |TM71 Harden |TM72 Transform |TM73 Draining Kiss |              - |               - |              - |TM77 Vacuum Wave |TM78 Iron Defense |TM79 Me First |              - |TM81 Extrasensory |TM82 Copycat |TM83 Psycho Shift |TM84 Water Pledge |        - |                - |           - |TM88 Lock-On |TM89 Happy Hour |              - |             - |                - |TM93 Teleport |TM94 Light of Ruin |TM95 Explosion |         - |TM97 Psychic |         - |TM99 Powder Snow |        - |HM01 Cut |HM02 Fly |        - |            - |HM05 Waterfall |HM06 Rock Smash |HM07 Dive |
154 Meganium         |TM01 Tickle |              - |TM03 Lick |TM04 Mach Punch |TM05 Steel Wing |TM06 Phantom Force |           - |               - |TM09 Fury Attack |TM10 False Swipe |TM11 Super Fang |TM12 Crabhammer |               - |               - |TM15 Shadow Force |TM16 Hail |TM17 Thunder |         - |TM19 Poison Gas |              - |          - |TM22 Fury Cutter |                - |               - |TM25 Icy Wind |TM26 Mud Sport |TM27 Round |TM28 Solar Beam |             - |TM30 Play Rough |TM31 Bubble |         - |TM33 Dual Chop |        - |TM35 Psywave |TM36 Disarming Voice |TM37 Giga Drain |            - |TM39 Seed Flare |                - |TM41 Dragon Rush |TM42 Spiky Shield |TM43 Ice Fang |         - |                 - |TM46 Volt Switch |TM47 Confusion |              - |TM49 Last Resort |             - |        - |TM52 Bounce |TM53 X-Scissor |TM54 Leaf Tornado |                - |TM56 Coil |              - |TM58 Acupressure |TM59 Aqua Ring |               - |                - |                - |               - |TM64 Quiver Dance |           - |TM66 Tail Whip |TM67 Flash Cannon |               - |         - |              - |TM71 Harden |             - |TM73 Draining Kiss |TM74 Hyper Fang |               - |TM76 Aerial Ace |               - |                - |TM79 Me First |TM80 Rock Blast |TM81 Extrasensory |TM82 Copycat |                - |TM84 Water Pledge |        - |TM86 Zen Headbutt |           - |           - |              - |TM90 Force Palm |TM91 Constrict |                - |TM93 Teleport |                 - |TM95 Explosion |TM96 Roost |TM97 Psychic |         - |               - |TM100 Bind |       - |HM02 Fly |        - |            - |             - |HM06 Rock Smash |        - |
155 Cyndaquil        |          - |TM02 Skill Swap |TM03 Lick |              - |TM05 Steel Wing |                 - |TM07 Gravity |               - |TM09 Fury Attack |TM10 False Swipe |TM11 Super Fang |              - |TM13 Signal Beam |TM14 Dragon Tail |TM15 Shadow Force |        - |           - |         - |              - |TM20 Lava Plume |TM21 Splash |TM22 Fury Cutter |                - |TM24 Pin Missile |TM25 Icy Wind |             - |TM27 Round |TM28 Solar Beam |             - |TM30 Play Rough |TM31 Bubble |         - |             - |        - |           - |                   - |              - |TM38 Psych Up |              - |TM40 Nature Power |TM41 Dragon Rush |                - |TM43 Ice Fang |TM44 Pluck |                 - |               - |             - |              - |TM49 Last Resort |TM50 Rock Tomb |        - |TM52 Bounce |TM53 X-Scissor |TM54 Leaf Tornado |                - |TM56 Coil |              - |               - |             - |               - |                - |TM62 Thunder Wave |TM63 Water Pulse |                - |           - |TM66 Tail Whip |TM67 Flash Cannon |TM68 Silver Wind |TM69 Glare |TM70 Switcheroo |TM71 Harden |TM72 Transform |TM73 Draining Kiss |              - |               - |TM76 Aerial Ace |               - |                - |TM79 Me First |TM80 Rock Blast |                - |           - |TM83 Psycho Shift |                - |TM85 Bide |TM86 Zen Headbutt |TM87 Ingrain |TM88 Lock-On |TM89 Happy Hour |              - |             - |                - |            - |                 - |             - |         - |           - |         - |               - |TM100 Bind |       - |HM02 Fly |HM03 Surf |            - |             - |HM06 Rock Smash |        - |
156 Quilava          |          - |TM02 Skill Swap |        - |TM04 Mach Punch |TM05 Steel Wing |TM06 Phantom Force |TM07 Gravity |               - |TM09 Fury Attack |               - |              - |TM12 Crabhammer |TM13 Signal Beam |               - |TM15 Shadow Force |TM16 Hail |           - |         - |              - |TM20 Lava Plume |          - |TM22 Fury Cutter |                - |TM24 Pin Missile |            - |             - |TM27 Round |              - |TM29 Vice Grip |              - |TM31 Bubble |TM32 Brine |             - |TM34 Yawn |           - |                   - |              - |TM38 Psych Up |TM39 Seed Flare |                - |               - |TM42 Spiky Shield |TM43 Ice Fang |         - |TM45 Dragon Ascent |               - |             - |              - |               - |             - |        - |TM52 Bounce |             - |TM54 Leaf Tornado |TM55 Sucker Punch |TM56 Coil |TM57 Head Smash |               - |TM59 Aqua Ring |TM60 Meteor Mash |                - |                - |TM63 Water Pulse |                - |           - |TM66 Tail Whip |                - |               - |TM69 Glare |TM70 Switcheroo |TM71 Harden |             - |                 - |TM74 Hyper Fang |TM75 String Shot |TM76 Aerial Ace |TM77 Vacuum Wave |TM78 Iron Defense |            - |              - |                - |           - |TM83 Psycho Shift |TM84 Water Pledge |TM85 Bide |TM86 Zen Headbutt |TM87 Ingrain |           - |              - |              - |             - |TM92 Electro Ball |TM93 Teleport |                 - |TM95 Explosion |TM96 Roost |           - |TM98 Pound |               - |TM100 Bind |       - |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |              - |        - |
157 Typhlosion       |TM01 Tickle |              - |TM03 Lick |              - |TM05 Steel Wing |TM06 Phantom Force |           - |TM08 Bolt Strike |               - |TM10 False Swipe |TM11 Super Fang |TM12 Crabhammer |               - |               - |TM15 Shadow Force |TM16 Hail |TM17 Thunder |TM18 Snore |              - |              - |TM21 Splash |TM22 Fury Cutter |                - |               - |TM25 Icy Wind |TM26 Mud Sport |         - |TM28 Solar Beam |             - |TM30 Play Rough |TM31 Bubble |         - |TM33 Dual Chop |TM34 Yawn |TM35 Psywave |TM36 Disarming Voice |TM37 Giga Drain |TM38 Psych Up |TM39 Seed Flare |TM40 Nature Power |TM41 Dragon Rush |                - |            - |         - |                 - |               - |TM47 Confusion |TM48 Leaf Storm |TM49 Last Resort |             - |TM51 Slam |TM52 Bounce |             - |TM54 Leaf Tornado |                - |        - |              - |TM58 Acupressure |             - |               - |TM61 Spike Cannon |                - |TM63 Water Pulse |                - |TM65 Swagger |TM66 Tail Whip |TM67 Flash Cannon |               - |TM69 Glare |              - |          - |TM72 Transform |                 - |TM74 Hyper Fang |TM75 String Shot |TM76 Aerial Ace |TM77 Vacuum Wave |                - |            - |TM80 Rock Blast |TM81 Extrasensory |TM82 Copycat |                - |                - |TM85 Bide |TM86 Zen Headbutt |           - |           - |              - |              - |TM91 Constrict |TM92 Electro Ball |TM93 Teleport |TM94 Light of Ruin |TM95 Explosion |TM96 Roost |           - |         - |TM99 Powder Snow |TM100 Bind |HM01 Cut |HM02 Fly |        - |HM04 Strength |HM05 Waterfall |              - |        - |
158 Totodile         |TM01 Tickle |              - |        - |              - |TM05 Steel Wing |                 - |           - |TM08 Bolt Strike |TM09 Fury Attack |               - |TM11 Super Fang |TM12 Crabhammer |               - |TM14 Dragon Tail |TM15 Shadow Force |        - |           - |TM18 Snore |TM19 Poison Gas |              - |          - |               - |TM23 Secret Power |               - |TM25 Icy Wind |             - |         - |TM28 Solar Beam |TM29 Vice Grip |              - |TM31 Bubble |TM32 Brine |TM33 Dual Chop |TM34 Yawn |TM35 Psywave |TM36 Disarming Voice |              - |            - |              - |TM40 Nature Power |               - |                - |            - |         - |                 - |               - |TM47 Confusion |              - |TM49 Last Resort |TM50 Rock Tomb |        - |          - |             - |TM54 Leaf Tornado |TM55 Sucker Punch |TM56 Coil |              - |TM58 Acupressure |             - |               - |                - |TM62 Thunder Wave |TM63 Water Pulse |TM64 Quiver Dance |           - |             - |                - |               - |TM69 Glare |TM70 Switcheroo |          - |             - |                 - |              - |               - |TM76 Aerial Ace |               - |TM78 Iron Defense |TM79 Me First |              - |                - |TM82 Copycat |                - |TM84 Water Pledge |        - |TM86 Zen Headbutt |           - |TM88 Lock-On |TM89 Happy Hour |              - |             - |TM92 Electro Ball |            - |TM94 Light of Ruin |             - |TM96 Roost |TM97 Psychic |TM98 Pound |TM99 Powder Snow |TM100 Bind |       - |HM02 Fly |        - |            - |             - |HM06 Rock Smash |HM07 Dive |
159 Croconaw         |TM01 Tickle |              - |        - |              - |TM05 Steel Wing |                 - |           - |               - |TM09 Fury Attack |               - |              - |              - |TM13 Signal Beam |               - |TM15 Shadow Force |        - |           - |TM18 Snore |TM19 Poison Gas |TM20 Lava Plume |TM21 Splash |TM22 Fury Cutter |TM23 Secret Power |               - |            - |TM26 Mud Sport |         - |TM28 Solar Beam |             - |              - |TM31 Bubble |TM32 Brine |             - |TM34 Yawn |           - |TM36 Disarming Voice |TM37 Giga Drain |            - |              - |TM40 Nature Power |               - |                - |TM43 Ice Fang |         - |                 - |               - |             - |TM48 Leaf Storm |TM49 Last Resort |             - |        - |          - |TM53 X-Scissor |TM54 Leaf Tornado |                - |TM56 Coil |TM57 Head Smash |               - |TM59 Aqua Ring |TM60 Meteor Mash |                - |TM62 Thunder Wave |               - |TM64 Quiver Dance |TM65 Swagger |TM66 Tail Whip |TM67 Flash Cannon |               - |         - |              - |TM71 Harden |             - |TM73 Draining Kiss |TM74 Hyper Fang |               - |TM76 Aerial Ace |               - |TM78 Iron Defense |TM79 Me First |              - |                - |TM82 Copycat |                - |TM84 Water Pledge |        - |                - |TM87 Ingrain |           - |              - |              - |             - |TM92 Electro Ball |TM93 Teleport |                 - |             - |TM96 Roost |           - |         - |TM99 Powder Snow |TM100 Bind |HM01 Cut |       - |HM03 Surf |            - |HM05 Waterfall |HM06 Rock Smash |HM07 Dive |
160 Feraligatr       |TM01 Tickle |              - |TM03 Lick |TM04 Mach Punch |TM05 Steel Wing |TM06 Phantom Force |TM07 Gravity |               - |               - |TM10 False Swipe |TM11 Super Fang |              - |               - |               - |TM15 Shadow Force |        - |TM17 Thunder |         - |TM19 Poison Gas |TM20 Lava Plume |          - |TM22 Fury Cutter |TM23 Secret Power |               - |            - |TM26 Mud Sport |         - |              - |TM29 Vice Grip |TM30 Play Rough |TM31 Bubble |         - |             - |TM34 Yawn |TM35 Psywave |TM36 Disarming Voice |TM37 Giga Drain |TM38 Psych Up |              - |                - |TM41 Dragon Rush |TM42 Spiky Shield |TM43 Ice Fang |TM44 Pluck |TM45 Dragon Ascent |TM46 Volt Switch |TM47 Confusion |              - |TM49 Last Resort |TM50 Rock Tomb |TM51 Slam |TM52 Bounce |             - |TM54 Leaf Tornado |TM55 Sucker Punch |TM56 Coil |TM57 Head Smash |               - |TM59 Aqua Ring |TM60 Meteor Mash |TM61 Spike Cannon |TM62 Thunder Wave |TM63 Water Pulse |TM64 Quiver Dance |           - |             - |                - |TM68 Silver Wind |TM69 Glare |TM70 Switcheroo |TM71 Harden |TM72 Transform |                 - |TM74 Hyper Fang |               - |TM76 Aerial Ace |               - |                - |TM79 Me First |              - |TM81 Extrasensory |TM82 Copycat |TM83 Psycho Shift |TM84 Water Pledge |TM85 Bide |TM86 Zen Headbutt |           - |           - |TM89 Happy Hour |TM90 Force Palm |             - |TM92 Electro Ball |TM93 Teleport |                 - |TM95 Explosion |TM96 Roost |           - |         - |TM99 Powder Snow |        - |       - |       - |        - |            - |             - |              - |HM07 Dive |
161 Sentret          |TM01 Tickle |              - |        - |TM04 Mach Punch |              - |TM06 Phantom Force |           - |TM08 Bolt Strike |               - |TM10 False Swipe |TM11 Super Fang |              - |               - |               - |TM15 Shadow Force |TM16 Hail |TM17 Thunder |TM18 Snore |TM19 Poison Gas |TM20 Lava Plume |TM21 Splash |               - |                - |TM24 Pin Missile |TM25 Icy Wind |             - |         - |              - |             - |              - |          - |         - |             - |TM34 Yawn |           - |                   - |              - |TM38 Psych Up |TM39 Seed Flare |                - |TM41 Dragon Rush |                - |TM43 Ice Fang |         - |                 - |TM46 Volt Switch |             - |TM48 Leaf Storm |               - |TM50 Rock Tomb |TM51 Slam |TM52 Bounce |TM53 X-Scissor |TM54 Leaf Tornado |TM55 Sucker Punch |TM56 Coil |TM57 Head Smash |               - |TM59 Aqua Ring |               - |TM61 Spike Cannon |                - |               - |TM64 Quiver Dance |           - |             - |TM67 Flash Cannon |TM68 Silver Wind |         - |TM70 Switcheroo |          - |             - |TM73 Draining Kiss |              - |TM75 String Shot |              - |               - |                - |            - |              - |                - |TM82 Copycat |                - |TM84 Water Pledge |        - |TM86 Zen Headbutt |           - |TM88 Lock-On |              - |              - |             - |TM92 Electro Ball |            - |                 - |             - |TM96 Roost |TM97 Psychic |TM98 Pound |               - |        - |HM01 Cut |       - |HM03 Surf |            - |HM05 Waterfall |HM06 Rock Smash |HM07 Dive |
162 Furret           |          - |              - |TM03 Lick |              - |TM05 Steel Wing |TM06 Phantom Force |TM07 Gravity |TM08 Bolt Strike |               - |               - |              - |TM12 Crabhammer |               - |TM14 Dragon Tail |TM15 Shadow Force |TM16 Hail |TM17 Thunder |TM18 Snore |              - |              - |TM21 Splash |               - |                - |               - |            - |TM26 Mud Sport |TM27 Round |              - |             - |              - |          - |TM32 Brine |             - |        - |TM35 Psywave |                   - |TM37 Giga Drain |TM38 Psych Up |              - |                - |               - |TM42 Spiky Shield |            - |         - |                 - |TM46 Volt Switch |             - |TM48 Leaf Storm |TM49 Last Resort |             - |        - |          - |             - |TM54 Leaf Tornado |                - |        - |TM57 Head Smash |TM58 Acupressure |             - |               - |TM61 Spike Cannon |TM62 Thunder Wave |               - |TM64 Quiver Dance |           - |             - |                - |               - |         - |TM70 Switcheroo |          - |TM72 Transform |                 - |TM74 Hyper Fang |TM75 String Shot |              - |               - |                - |            - |TM80 Rock Blast |                - |           - |TM83 Psycho Shift |                - |TM85 Bide |                - |           - |TM88 Lock-On |              - |              - |TM91 Constrict |                - |            - |                 - |             - |         - |           - |TM98 Pound |TM99 Powder Snow |        - |       - |       - |HM03 Surf |            - |HM05 Waterfall |              - |HM07 Dive |
163 Hoothoot         |          - |              - |        - |              - |TM05 Steel Wing |TM06 Phantom Force |TM07 Gravity |               - |               - |               - |              - |TM12 Crabhammer |               - |               - |                - |TM16 Hail |           - |TM18 Snore |              - |TM20 Lava Plume |          - |TM22 Fury Cutter |                - |               - |            - |             - |         - |TM28 Solar Beam |             - |              - |TM31 Bubble |         - |             - |TM34 Yawn |TM35 Psywave |                   - |              - |            - |              - |TM40 Nature Power |               - |                - |TM43 Ice Fang |         - |TM45 Dragon Ascent |TM46 Volt Switch |             - |              - |TM49 Last Resort |TM50 Rock Tomb |        - |          - |TM53 X-Scissor |                - |TM55 Sucker Punch |        - |              - |               - |             - |               - |TM61 Spike Cannon |TM62 Thunder Wave |TM63 Water Pulse |                - |           - |             - |                - |               - |TM69 Glare |TM70 Switcheroo |          - |             - |TM73 Draining Kiss |              - |TM75 String Shot |              - |               - |                - |            - |              - |TM81 Extrasensory |           - |TM83 Psycho Shift |                - |TM85 Bide |TM86 Zen Headbutt |TM87 Ingrain |           - |              - |              - |TM91 Constrict |                - |            - |                 - |TM95 Explosion |         - |           - |         - |TM99 Powder Snow |        - |HM01 Cut |HM02 Fly |        - |HM04 Strength |             - |              - |        - |
